id,web_name,first_name,second_name,team,team_code,element_type,now_cost,cost_change_event,cost_change_start,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added,selected_by_percent,transfers_in_event,transfers_out_event,form,points_per_game,total_points,event_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,clearances_blocks_interceptions,recoveries,tackles,saves,saves_per_90,starts_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,ep_next,ep_this,dreamteam_count,value_form,value_season
629,Zetterer,Michael,Zetterer,13,2,1,40,0,0,a,,,,,0.7,2548,2281,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
630,Harwood-Bellis,Taylor,Harwood-Bellis,2,7,2,45,0,0,a,,,,,0.0,147,147,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
631,Mbaye,Ibrahim,Mbaye,2,7,3,60,0,0,a,,,,,0.1,734,983,0.7,1.0,2,1,33,0,0,0,0,3,0,8,0.02,0.13,0.15,1.64,0.05,0.35,0.4,4.47,2,5.45,0,1,1,0,0.0,0.0,,,,0.7,0.7,0,0.1,0.3
632,Ansah,Ilyas,Ansah,11,88,4,50,0,0,i,0,0,Back injury - Unknown return date,2026-09-09T10:00:08.919489Z,0.0,54,349,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
633,Ahanor,Honest,Ahanor,8,31,2,45,0,0,a,,,,,0.0,113,95,1.0,3.0,3,0,90,1,0,0,0,3,0,10,0.00,0.01,0.01,1.68,0.0,0.01,0.01,1.68,11,11.0,9,4,2,0,0.0,1.0,,,,1.0,1.0,0,0.2,0.7
634,Fernandez-Pardo,Matias,Fernandez-Pardo,17,4,4,60,0,0,a,,,,,0.1,1427,1172,1.3,1.3,4,2,157,2,0,0,0,4,0,16,0.05,0.01,0.06,2.94,0.03,0.01,0.04,1.69,5,2.87,0,3,2,0,0.0,1.15,,,,1.3,1.3,0,0.2,0.7
635,Larsson,Hugo,Larsson,10,54,3,50,0,0,a,,,,,0.0,75,59,1.0,1.0,3,1,37,0,0,0,0,1,0,9,0.13,0.23,0.36,0.88,0.32,0.56,0.88,2.14,6,14.59,2,3,1,0,0.0,0.0,,,,1.0,1.0,0,0.2,0.6
636,Ángel,Manuel Ángel,Morán Ibáñez,10,54,3,50,0,0,a,,,,,0.0,25,21,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
637,Vaz,Robinio,Vaz,11,88,4,50,0,0,a,,,,,0.1,1484,970,0.7,1.0,2,1,20,0,0,0,0,0,0,8,0.00,0.01,0.01,0.31,0.0,0.04,0.04,1.4,2,9.0,0,2,0,0,0.0,0.0,,,,0.7,0.7,0,0.1,0.4
638,Norton-Cuffy,Brooke,Norton-Cuffy,11,88,2,40,0,0,d,75,,Hamstring injury - 75% chance of playing,2026-09-21T08:30:09.561308Z,0.2,438,2028,0.3,0.5,1,0,34,0,0,0,0,0,0,3,0.05,0.00,0.05,0.30,0.13,0.0,0.13,0.79,1,2.65,1,4,0,0,0.0,0.0,,,,0.2,0.3,0,0.1,0.2
639,Andrés,José María,Andrés Baixauli,5,36,3,55,0,0,a,,,,,0.0,2287,230,4.0,6.0,12,8,109,1,1,1,1,0,0,37,0.52,0.12,0.64,1.70,0.43,0.1,0.53,1.4,13,10.73,4,8,1,0,0.0,0.83,,,,4.0,4.0,0,0.7,2.2
640,Flemming,Zian,Flemming,12,40,4,55,0,0,a,,,,,0.1,710,838,2.0,2.0,6,0,60,0,1,0,0,1,0,34,0.64,0.01,0.65,0.63,0.96,0.02,0.98,0.94,5,7.5,1,3,1,0,0.0,0.0,,,,2.0,2.0,0,0.4,1.1
641,Bard,Melvin,Bard,13,2,2,45,0,0,a,,,,,0.0,82,65,0.3,1.0,1,0,18,0,0,0,0,1,0,1,0.00,0.00,0.00,0.30,0.0,0.0,0.0,1.5,2,10.0,1,2,1,0,0.0,0.0,,,,0.3,0.3,0,0.1,0.2
642,Thomas,Sorba,Thomas,11,88,3,55,0,0,a,,,,,0.0,372,284,1.3,1.3,4,2,119,1,0,0,0,3,0,13,0.21,0.11,0.32,2.04,0.16,0.08,0.24,1.54,8,6.05,0,7,1,0,0.0,0.76,,,,1.3,1.3,0,0.2,0.7
643,Chilwell,Ben,Chilwell,8,31,2,45,0,0,a,,,,,0.4,456,2526,2.7,4.0,8,0,29,0,1,0,0,1,0,21,0.27,0.01,0.28,1.12,0.84,0.03,0.87,3.48,1,3.1,1,0,0,0,0.0,0.0,,,,2.7,2.7,0,0.6,1.8
644,Timber,Quinten,Timber,8,31,3,50,0,0,a,,,,,0.0,375,254,3.0,3.0,9,3,253,3,0,0,1,5,0,45,0.24,0.06,0.30,5.56,0.09,0.02,0.11,1.98,27,9.6,6,10,11,0,0.0,1.07,,,,3.0,3.0,0,0.6,1.8
645,Mouzakitis,Christos,Mouzakitis,11,88,3,50,0,0,a,,,,,0.0,65,78,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
646,Fofana,Malick,Fofana,20,56,3,55,0,0,a,,,,,0.0,276,262,1.0,1.0,3,1,60,0,0,0,0,2,0,11,0.39,0.01,0.40,3.25,0.58,0.02,0.6,4.88,3,4.5,0,2,1,0,0.0,0.0,,,,1.0,1.0,0,0.2,0.5
647,Osorio,Darío,Osorio,8,31,3,55,0,0,a,,,,,0.0,17,61,0.3,1.0,1,0,1,0,0,0,0,0,0,2,0.00,0.00,0.00,0.13,0.0,0.0,0.0,11.7,1,90.0,0,0,1,0,0.0,0.0,,,,0.3,0.3,0,0.1,0.2
648,Bahoya,Jean-Mattéo,Bahoya,13,2,3,50,0,0,a,,,,,0.0,85,150,0.3,1.0,1,1,1,0,0,0,0,0,0,5,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,,,,0.3,0.3,0,0.1,0.2
649,Maitland-Niles,Ainsley,Maitland-Niles,9,11,2,45,0,0,a,,,,,1.3,16228,3389,7.0,7.0,21,8,177,2,1,0,2,1,2,75,0.06,0.25,0.31,2.00,0.03,0.13,0.16,1.02,13,6.61,8,7,5,0,0.0,1.02,,,,7.0,7.0,0,1.6,4.7
650,Affengruber,David,Affengruber,10,54,2,45,0,0,a,,,,,0.0,2298,508,4.0,6.0,12,4,180,2,0,0,1,1,0,40,0.00,0.02,0.02,2.88,0.0,0.01,0.01,1.44,23,11.5,20,7,3,0,0.0,1.0,,,,4.0,4.0,0,0.9,2.7
651,J.Angulo,Juan,Angulo,20,56,4,45,0,0,a,,,,,0.7,7370,6144,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
652,Azeez,Femi,Azeez,5,36,3,55,0,0,i,0,0,Hamstring injury - Expected back 10 Oct,2026-09-04T11:30:08.661589Z,0.0,14,37,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
653,Samba,Floyd,Samba,15,43,3,45,0,0,a,,,,,0.0,204,401,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
654,Graham,Braiden,Graham,9,11,3,45,0,0,a,,,,,0.1,193,847,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
655,Gboho,Yann,Gboho,7,9,3,55,0,0,a,,,,,0.0,58,45,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
656,Mfuni,Stephen,Mfuni,7,9,2,40,0,0,a,,,,,0.1,1529,692,3.0,6.0,6,6,90,1,0,0,1,0,0,27,0.00,0.01,0.01,1.10,0.0,0.01,0.01,1.1,8,8.0,7,3,1,0,0.0,1.0,,,,3.0,3.0,0,0.8,1.5
657,Nunes,Gustavo,Nunes Fernandes Gomes,4,94,3,45,0,0,a,,,,,0.0,288,226,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
658,Ibrahim,Younes,Ibrahim,5,36,3,45,0,0,a,,,,,0.0,255,185,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
659,Miley,Mason,Miley,17,4,3,45,0,0,a,,,,,0.0,1215,538,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
660,Fredrick,Benjamin,Fredrick,4,94,2,40,0,0,a,,,,,0.0,427,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.1,1.1,0,0.0,0.0
661,Balcombe,Ellery,Balcombe,4,94,1,40,0,0,a,,,,,0.0,2452,404,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,1.0,0,0.0,0.0
662,Nicoll-Jazuli,Mahdi,Nicoll-Jazuli,6,8,3,45,0,0,a,,,,,0.0,281,51,1.0,1.0,1,1,3,0,0,0,0,1,0,5,0.00,0.00,0.00,0.43,0.0,0.0,0.0,12.9,2,60.0,0,0,2,0,0.0,0.0,,,,1.1,1.1,0,0.2,0.2
663,Pivas,Miodrag,Pivas,17,4,2,40,0,0,a,,,,,0.0,298,37,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.1,1.1,0,0.0,0.0
664,Salia,Vakhtang,Salia,17,4,4,45,0,0,a,,,,,0.1,7295,1058,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,1.0,0,0.0,0.0
665,Mills,Michael,Mills,17,4,3,45,0,0,a,,,,,0.0,136,23,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.1,1.1,0,0.0,0.0
666,Thompson,Kyran,Thompson,17,4,3,45,0,0,a,,,,,0.0,173,21,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.1,1.1,0,0.0,0.0
667,Wright,James,Wright,2,7,1,40,0,0,a,,,,,0.1,5559,516,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,1.0,0,0.0,0.0
